prompt,completion
Alcohol addiction,Nghiện rượu
Alcohol dependence,Nghiện rượu
Alcohol misuse,Lạm dụng rượu
Alcohol related liver disease (ARLD),Bệnh gan liên quan đến rượu
Alcohol use disorders,Các rối loạn do uống rượu
Alcohol withdrawal,Cai rượu
Alcoholic liver disease,Bệnh gan do rượu
Alcoholism,Chứng nghiện rượu
Algorithm,phương cách
Alk phos,Phosphat kiềm
Alleles,Alen
Allergic rhinitis,Viêm mũi dị ứng
Allergy,Dị ứng
Allogeneic stem cell transplant,Ghép tế bào gốc đồng loại
Allopurinol,Allopurinol
Alpha-1 antitrypsin,Alpha-1 antitrypsin
Alpha-thalassaemia,Bệnh alpha-thalassaemia
Altered bowel habit,Thay đổi thói quen đi ngoài
Altered mental status,Trạng thái tâm lý thay đổi
Alternate days,Cách nhật
Alternative treatment,Phương án điều trị thay thế
Alveolar,Thuộc phế nang
Alveolar infiltrates,Thâm nhiễm phế nang
Alveolar macrophages,Đại thực bào phế nang
Alveolar ridge,Sống hàm
Ambulatory,Cứu thương/ can thiệp trong ngày
Amelanotic melanoma,U hắc tố không melanin
Amenorrhoea,Mất kinh
American Academy of Pediatrics,Viện Nhi khoa Hoa Kỳ
American College of Cardiology,Trường Bệnh học tim Hoa Kỳ
American Heart Association,Hiệp hội Tim mạch Hoa Kỳ
Aminoglycoside,Aminoglycoside
Aminotransferase,Aminotransferase
Amniotic fluid embolism,Tắc mạch ối
Amoeba,Amip
Amphetamines,Amphetamine
Amphotericin-B,Amphotericin-B
Amyotrophic lateral sclerosis,Xơ cứng teo cơ cột bên
Anaemia,Chứng thiếu máu
Anaemia of chronic disease,Chứng thiếu máu do bệnh mạn tính
Anal sphincter,Cơ vòng hậu môn
Anaphylactic,Thuộc về phản vệ
Anaphylasix,Phản vệ
Anaphylatoid,Dạng phản vệ
Anastomosis,Miệng nối
Anatomical pathology,Giải phẫu bệnh
Anchoring sequence,Trình tự neo
Aneurysm,Phình mạch
"Angina pectoris, angina","Cơn đau thắt ngực, đau thắt ngực"
Angiography,Chụp mạch máu
"Angio-oedema, angio-edema",Phù mạch
Angioplasty,Phương pháp tạo hình mạch
Angiotensin converting enzyme (ACE),Enzym chuyển angiotensin (ACE)
Angiotensin-II receptor antagonist,Chất đối kháng thụ thể angiotensin-II
Angular stomatitis,Viêm nứt khóe miệng.
Animal study,Nghiên cứu trên động vật
Anorexia,Chứng biếng ăn
Anorexia nervosa,Chán ăn tâm thần
Antagonists,Chất đối kháng
Antenatal diagnosis,Chẩn đoán trước sinh
Anterior-middle wall,Thành trước-giữa
Anterior chamber (eye),Tiền phòng (mắt)
Anti-actin,Kháng actin
Antiaggregant/antiplatelet,Kháng kết tập tiểu cầu/kháng tiểu cầu (như nhau)
Anti-ANA antibody,Kháng thể kháng nhân
Antibiotic resistance,Kháng kháng sinh
Antibiotic therapy,Điều trị kháng sinh
Antibiotics,Kháng sinh
Antibodies to hepatitis A virus,Kháng thể kháng vi-rút viêm gan A
Antibody,Kháng thể
Anticoagulation,Chống đông
Anticonvulsant,Chống co giật
Anti-DNase B,Kháng DNase B
Antifibrinolytic,Thuốc chống tiêu sợi huyết
Antifungals,Kháng nấm
Anti-GBM (anti-glomerular basement antibody),anti-GBM (kháng thể kháng màng đáy cầu thận)
Antigen,Kháng nguyên
Antigen presenting cell,Tế bào trình diện kháng nguyên
Antigenaemia,Kháng nguyên trong máu
Anti-HAV,anti-HAV
Anti-HCV,anti-HCV
Anti-inflammatory,Kháng viêm
Anti-LKM,Kháng tiểu thể-gan-thận
Antimicrobial treatment,Điều trị kháng vi sinh vật
Antinuclear antibodies,Kháng thể kháng nhân
Antinuclear antibody (ANA),Kháng thể kháng nhân (ANA)
Anti-nuclear antibody (ANA),Kháng thể kháng hạt nhân (ANA)
Antiplatelet,Kháng tiểu cầu
Antiplatelet drug,Thuốc kháng tiểu cầu
Antistreptolysin O,Antistreptolysin O
Anti-tissue transglutaminase antibodies,Kháng thể kháng transglutaminase mô
Antiviral drugs,Thuốc kháng vi-rút
Antivirals,Kháng vi-rút
Antrum,Hang vị
Anuric,Vô niệu
Anxiety,Lo âu
Aorta,Động mạch chủ
Aortic aneurysm,Phình động mạch chủ
Aortic arch,Quai động mạch chủ
Aortic valve,Van động mạch chủ
Aphasia,Thất ngôn
Aphthous-like ulcer,Loét dạng áp-tơ
Apical chest signs,Triệu chứng vùng ngực không điển hình
Aplastic anaemia,Suy tủy xương
Apoptosis,Tế bào chết theo chương trình
Aqueduct,Máng dẫn
Area postrema,Vùng trung tâm nôn
Army basic training camps,Trại huấn luyện quân sự cơ bản
Arrhythmia,Rối loạn nhịp
Arteria thoracica interna,Động mạch vú trong / Động mạch ngực trong
Arterial blood gas,Khí máu động mạch
Arterial blood gas test,Xét nghiệm Khí máu
Arterial pulse pressure,Áp lực xung động mạch
Arteriolar venous nipping,Dấu hiệu bắt chéo động tĩnh mạch
Artery,Động mạch
Arthralgia,Đau khớp
Arthritis,Viêm khớp
Arthroconidia,Bào tử đốt
Arthropods,Động vật chân đốt
Arthrospore,Bào tử đốt
Arytenoid cartilage,Sụn phễu
Ascending aorta,Động mạch chủ lên
Ascending colon,Đại tràng lên
Ascites,Cổ chướng
Ashdown agar,Môi trường ashdown agar
Asians,Người châu Á (nguồn: hinhanhykhoa.com)
Aspartate aminotransferase,Aspartate aminotransferase
Aspartate aminotransferase (AST),Aspartate aminotransferase (AST)
Aspergillosis,Bệnh nhiễm nấm aspergillus
Associate Professor of Medicine,Phó Giáo sư Y khoa
Asterixis,Chứng suy tư thế vận động
Asthenia,Suy nhược
Asthma,Hen suyễn
Asymptomatic,Không có triệu chứng
Atagnonist,Đối chủ vận
Ataxia,Thất điều
Atherosclerosis,Xơ vữa
Athralgia,Chứng đau khớp
Atopic dermatitis,Viêm da cơ địa
Atopic eczema,Viêm da dị ứng
Atrial bigeminy,Nhịp đôi nhĩ
Atrial extrasystole,Ngoại tâm thu nhĩ
Atrial fibrillation,Rung nhĩ
At-risk groups,Nhóm có nguy cơ
Attack rate,Tỷ lệ tấn công
Attenuated,Bị làm yếu
Attributable mortality,Tỷ lệ tử vong quy bổ
Atypical,Không điển hình
Atypical bacterial pneumonia,Viêm phổi do vi khuẩn không điển hình
Atypical pneumonia,Viêm phổi không điển hình
Auditory evoked responses,Đáp ứng kích thích thính giác
Auer’s rods,Đám thể Auer
Ausculation,Nghe
Auscultation,Nghe
Autoimmune,Tự miễn
Autoimmune disease,Bệnh tự miễn
Autoimmune disorders,Rối loạn tự miễn
Auto-immune disorders,Rối loạn tự miễn
Autoimmune haemolytic anaemia,Thiếu máu huyết tán tự miễn
Autonomic disease,Bệnh rối loạn thần kinh tự động
Autosomal recessive,(thuộc) gen lặn của nhiễm sắc thể thường
Autosomal-dominant,Tính trạng trội
Autosomal-recessive,Tính trạng lặn
Auxiliary parts,Hai phần phụ
AV (atrioventricular),AV (nhĩ thất)
Avascular necrosis,Hoại tử vô mạch
Avian,(thuộc) gia cầm
Avid,Khao khát
Axial skeleton,Bộ xương trục
Axillary bubo,Hạch nách
Azole antifungals,Thuốc chống nấm azole
Babies,Trẻ nhỏ
Bacilli,Trực khuẩn
Bacteraemia,Vãng khuẩn huyết
Bacteria,Vi khuẩn
Bacterial,(thuộc) vi khuẩn
Bacterial colonisation,Vi khuẩn thường trú
Bacterial meningitis,Viêm màng não do vi khuẩn
Bacterial resistance,Vi khuẩn kháng thuốc
Bacterial sepsis,Nhiễm khuẩn huyết
Bacterium,Vi khuẩn
Bad breath,Chứng hôi miệng
Bag-valve-mask,Túi-van-mặt nạ
Balloon dilatation,Nong bằng bóng
Balloon dilation,Nong bóng
Band form,Bạch cầu đoạn (immature neutrophils)
Band keratopathy,Thoái hóa giác mạc dải băng
Barium oesophagram,Kỹ thuật chụp X quang thực quản nuốt Bari
Barium swallow,Kỹ thuật chụp X quang thực quản nuốt Bari
Basal atelectasis,Xẹp đáy phổi
Base of left lung,Đáy phổi trái
Base of tongue,Gốc lưỡi
Baseline creatinine,Creatinine nền
Basement membrane,Màng đáy
Basilar artery,Động mạch nền sọ
Basophil,Ưa baso
Basophilic stippling,Sự tách hạt ưa kiềm
BCG,BCG
Benign lesion,Tổn thương lành tính
Beta-2 agonist,Chất đối kháng beta-2
Beta-blocker,Thuốc ức chế Beta
Beta-lactam,Beta-lactam
Beta-lactam antibiotics,Thuốc kháng sinh nhóm beta-lactam
Beta-thalassaemia,Bệnh beta-thalassaemia
Bias,Yếu tố nhiễu
Biconcave structure,Cấu trúc hai mặt lõm
Biguanides,Biguanide
Bilateral cranial nerve palsies,Chứng liệt dây thần kinh sọ não hai bên
Bile,Mật
Bile acids,Axit mật
Bile canaliculi,Tiểu quản mật
Bile ducts,Ống mật
Bile lysis,Phân giải mật
Biliary,Đường mật
Biliary atresia,Hẹp đường mật
Biliary obstruction,Tắc đường mật
Bilirubin,Bilirubin
Binding affinity,Ái lực gắn kết
Biopermeability,Độ thấm sinh học
Biopsy,Sinh thiết
Bipedal oedema,Phù hai chân
Bipolar appearance,Xuất hiện lưỡng cực
Birds,Chim
Birth products,Sản phẩm sinh nở
Bite cells,Tế bào bite
Blanching,Tẩy trắng
Blastomycosis,Bệnh nấm blatomyces
Blood BUN nitrogen,Ni tơ urê huyết
Blood donation,Hiến máu
Blood film,Màng mỏng máu
Blood group,Nhóm máu
Blood lipid disorder,Rối loạn lipid máu
Blood pressure (BP),Huyết áp (BP)
Blood products,Sản phẩm máu
Blood schizogony,Sinh sản vô tính trong các tế bào máu
Blood smear,Phết máu
Blood transfusion,Truyền máu
Blood urea,Urê máu
Blunt trauma,Chấn thương kín
BMI,BMI
Boarding schools,Trường nội trú
Body fluids,Chất dịch cơ thể
Body temperature,Thân nhiệt
Bolus,Tiêm nhanh một liều thuốc
Bone,Xương
Bone gristle,Sụn
Bone marrow,Tủy xương
Bone marrow aspiration,Chọc hút tủy xương
Bone mass,Khối lượng xương
Bone mineral density,Mật độ khoáng trong xương
Bone mineral density,Mật độ khoáng xương
Bone mineralisation,Quá trình khoáng hóa xương
Bone resorption,Quá trình hủy xương
Bone spurs,Chồi xương
Bone turnover,Chu chuyển xương
Bony erosions,Khớp xương bị ăn mòn
Borborygmy,Chứng sôi bụng
Bowel disorders,Rối loạn đường ruột
Bpm,Bpm
Bradycardia,Nhịp tim chậm
"Bradypnoea, bradypnea",Nhịp thở chậm
Brain abscess,Áp-xe não
Brain natriuretic peptide,Hóc-môn bnp do tim sản xuất
Brain stem,Cuống não
Amino acid,Axit amino
Breakdown,Bóc tách
Breast duct dilation,Giãn ống tuyến vú
Breastfeeding women,Phụ nữ cho con bú
Breath sound,Rì rào phế nang
British committee for standards in haematology,Ủy ban tiêu chuẩn huyết học của anh
British national formulary,Dược thư quốc gia anh quốc
Broad-spectrum antibiotic,Thuốc kháng sinh phổ rộng
Bronchial membranes,Màng phế quản
Bronchial wash,Rửa phế quản
Bronchiectasis,Giãn phế quản
Bronchoalveolar lavage,Rửa phế quản-phế nang
Bronchodilator,Thuốc giãn phế quản
Bronchopneumonia,Viêm phế quản phổi
Bronchoscopy,Soi phế quản
Bronchospasm,Co thắt phế quản
Brucellosis,Bệnh brucella
Bruising,Bầm tím
Bubonic plague,Bệnh dịch hạch thể hạch
Buccal mucosa,Niêm mạc má
Bulbar conjunctiva,Kết mạc nhãn cầu
Bulging,Phình lên
Bulimia nervosa,Chứng ăn ói/ cuồng ăn tâm thần
Bullae,Bọng nước
Bullous impetigo,Chốc bọng nước
Bullous myringitis,Viêm màng nhĩ bọng nước
Burning pain,Đau rát
By person-to-person,Trực tiếp
Bypass,Bắc cầu
C posadasii,C posadasii
Caecum,Manh tràng
Calcifications,Vôi hóa
Calcified ,Bị vôi hóa
Calcium-channel blockers,Thuốc chẹn kênh Canxi
Calyces and renal pelvis,Đài bể thận
Canadian Society of Nephrology,Hiệp hội Thận học Canada
Cancellous/trabecular bone,Xương xốp
Capillary blood glucose,Đường huyết mao mạch
Capillary permeability,Tính thấm mao mạch
Capsule endoscopy,Nội soi viên nang
Capsule-directed monoclonal antibody,Kháng thể đơn dòng hướng bao
Caput medusae,Đầu sứa
Carbamazepine,Carbamazepine
Carbohydrate-deficient transferrin (CDT) transferrin,Thiếu hụt carbonhydrate (CDT)
Carcinoembryonic antigen (CEA),Kháng nguyên carcinoembryonic (CEA)
Carcinoma,Ung thư biểu mô
Carcinomatous peritonitis,viêm phúc mạc K hóa
Cardia,Tâm vị
Cardiac arrhythmia,Rối loạn nhịp tim
Cardiac biomarkers,Chất chỉ điểm sinh học tim
Cardiac murmur,Tiếng thổi
Cardiac output,Cung lượng tim
Cardiac pacing,Nhịp tim học
Cardiac silhouette,Bóng tim
Cardiogenic shock,Sốc tim
Cardiopulmonary bypass,Tim phổi nhân tạo
Cardiopulmonary resuscitation,Hồi sức tim phổi
Cardiovascular disease (CVD),Bệnh tim mạch (CVD)
Cardiovascular internal medicine,Nội tim mạch
Carina,Ngã ba khí phế quản
Carotid artery,Động mạch cảnh
Carotid sheath,Bao cảnh
Carpal tunnel syndrome,Hội chứng ống cổ tay
Case,Ca bệnh
Case control study,Nghiên cứu bệnh chứng
Case fatality rate,Tỷ lệ tử vong trên quần thể bệnh nhân
Case history,Bệnh sử
Case series,Loạt ca bệnh
Casts,"Phôi, khuôn"
Catamenial,Thuộc kinh nguyệt
Cataract,Đục thủy tinh thể
Catarrhal,Viêm xuất tiết
Catheter,Ống thông
Cauda equina syndrome,Hội chứng đuôi ngựa
Caudatennucleus,Nhân đuôi
Cavitary lung disease,Bệnh phổi hang
Cavitation,Sự tạo hang
Cavities,Khoang
Cavity,Khoang (nguồn: hinhanhykhoa.com)
CD4 count,Số lượng CD4
Cell block,Khối tế bào
Cell count,Số lượng tế bào
Cell wall,Thành tế bào
Cell-mediated,Trung gian tế bào
Cell-mediated immune response,Đáp ứng miễn dịch qua trung gian tế bào
Cell-mediated immunity,Khả năng miễn dịch qua trung gian tế bào
Cells,Tế bào
Cells/microL,tế bào/microL
Cellulitis,Viêm mô tế bào
Centers for Disease Control and Prevention (CDC),Trung tâm Kiểm soát và Phòng chống Dịch bệnh
Central disc prolapse,Thoát vị đĩa đệm
Central nervous system (CNS),Hệ thần kinh trung ương (CNS)
Central venous pressure (CVP),Áp lực tĩnh mạch trung tâm (CVP)
Cephalosporin,Cephalosporin
Cerebellar Hemisphere,Bán cầu tiểu não
Cerebellar syndrome,Hội chứng tiểu não
Cerebellum,Tiểu não
Cerebral function,Chức năng não
Cerebrospinal fluid (CSF),Dịch não tủy (CSF)
Cerebrospinal fluid leukocytosis,Tăng bạch cầu dịch não tủy
Cerebrovascular accident,Tai biến mạch máu não
Cerebrovascular event,Tai biến mạch máu não
Ceruloplasmin,Ceruloplasmin
Cervical cancer,Ung thư cổ tử cung
Cervical herniated disc,Thoát vị đĩa đệm đốt sống cổ
Cervical spondylosis,Thoái hóa đốt sống cổ
Chancroid,Bệnh loét hạ cam
Charcot’s triad,Tam chứng Charcot
Charts,Bệnh án/bệnh lịch
Chemotherapy,Hóa trị liệu
Chemotherapy drugs,Thuốc hóa trị liệu
Chest,Ngực
Chest crackles,Ran phổi
Chest CT,Chụp CT ngực
Chest imaging,Chụp ngực
Chest pain,Đau ngực
Chest radiography,Chụp X-quang ngực
Chest recession,Rút lõm lồng ngực
Chest x-ray,Chụp x quang ngực
Chikungunya virus,Vi-rút Chikungunya
Child-Pugh score,Thang điểm Child-Pugh
Children,Trẻ em
Chills,Ớn lạnh
Chlamydia,Nấm chlamydia
Chlamydophila,Bệnh Chlamydia
Chloramphenicol,Chloramphenicol
Chlorine,Clo
Choking,Mắc nghẹn
Cholangitis,Viêm đường mật
Cholecystectomy,Cắt bỏ túi mật
Cholecystitis,Viêm túi mật
Chorioretinitis,Viêm màng mạch võng mạc
Chromosomal abnormalities,Bất thường nhiễm sắc thể
Chromosomal translocations,Chuyển đoạn nhiễm sắc thể
Chronic,Mạn tính
Chronic anaemia,Thiếu máu mạn tính
Chronic congestive heart failure,Suy tim sung huyết mạn tính
Chronic fatigue,Mệt mỏi mạn tính
Chronic fatigue syndrome,Hội chứng mệt mỏi mạn tính
Chronic hepatitis,Viêm gan mạn tính
Chronic inflammation,Viêm mạn tính
Chronic kidney disease,Bệnh thận mạn tính
Chronic liver disease,Bệnh gan mạn tính
Chronic lung disease,Bệnh phổi mạn tính
Chronic medical condition,Tình trạng bệnh lý mãn tính
Chronic obstructive pulmonary disease (COPD),Bệnh phổi tắc nghẽn mạn tính (COPD)
Chronic renal disease,Bệnh thận mạn
Chronic renal failure,Suy thận mạn tính
Chronic total occlusion (CTO),Tắc hoàn toàn
Ciliary action,Cơ chế tự làm sạch màng nhày
Ciliated epithelia,Biểu mô có lông rung
Ciliated epithelium,Biểu mô có lông rung
Cirrhosis,Xơ gan
Cirrhotic hard liver,Gan xơ cứng
Cistern,Bể não
Citomegalovirus (CMV),Citomegalovirus (CMV)
Class II alleles,Alen cấp II
Classic feature,Đặc điểm điển hình
Clear distinction between the cortex and the medulla,Giới hạn vỏ/tủy rõ
Clearance,Thanh thải
Clinical course,Diễn biến lâm sàng
Clinical Epidemiology Unit,Ban Dịch tễ học Lâm sàng
Clinical evaluation,Đánh giá lâm sàng
Clinical features,Đặc điểm lâm sàng
Clinical outcome,Kết cục lâm sàng
Clinical presentation,Biểu hiện lâm sàng
Clinical response,Đáp ứng lâm sàng
Clinical trial,Thử nghiệm lâm sàng
Clopidogrel,Clopidogrel
Close community settings,Bối cảnh cộng đồng khép kín
Close monitoring,Theo dõi chặt chẽ
Close observation,Quan sát chặt chẽ
Clotting factor concentrates,Yếu tố đông máu
Clotting screen,Màng đông máu
Clotting-factor disorders,Rối loạn yếu tố đông máu
Clubbing,Ngón tay dùi trống
Cluster headache,Nhức đầu từng cụm
Clusters of cases,Chùm ca bệnh
Coagulation,Đông máu
Coagulopathy,Rối loạn đông máu
Coarse lung sounds,Tiếng phổi thô
Co-author,Đồng tác giả
Coccidioidal,Do coccidioides gây nên
Coccidioidal infection,Nhiễm trùng do coccidioides
Coccidioidal meningitis,Viêm màng não do coccidioides
Coccidioides,Coccidioides
Coccidioides immitis,Bệnh nấm coccidioides immitis
Coccyx bone,"Xương cùng, xương cụt"
Coeliac disease,Bệnh coeliac
Coeliac disease,Bệnh Celiac
Coexistent diseases,Bệnh đồng thời
Coexisting,Đồng thời
Co-infection,Đồng nhiễm
Colic,Cơn đau quặn bụng
Collagen disorder,Rối loạn collagen
Colloid,Dịch keo
Colonoscopy,Nội soi đại tràng
Colony-stimulating factor,Các yếu tố kích thích tạo máu
Colorectal,Đại trực tràng
Colorectal polyp,Polyp đại tràng
Combined vaccines,Vắc-xin kết hợp
Common,Thường gặp
Common bile duct,Ống mật chủ
Common cold,Cảm lạnh thông thường
Community-acquired,Mắc phải từ cộng đồng
Community-acquired pneumonia,Viêm phổi mắc phải từ cộng đồng
Community-acquired pneumonia (CAP),Viêm phổi mắc phải từ cộng đồng (CAP)
Comorbid conditions,Bệnh lý kèm theo
Comorbidit,Mắc nhiều bệnh đồng thời
Co-morbidities,Mắc nhiều bệnh đồng thời
Compassionate basis,Phương pháp điều trị chưa được thử nghiệm cho bệnh nhân nguy kịch
Complement activation,Hoạt hóa bổ thể
Complement fixation,Thử nghiệm cố định bổ thể
Complement fixing,Cố định bổ thể
Complete blood count (CBC),Công thức máu (CBC)
Computed tomography (CT),Chụp cắt lớp vi tính (CT)
Confirmatory studies,Nghiên cứu xác định
Confounder,Yếu tố gây nhiễu
Confusion,Lú lẫn
Congenital,Tật bẩm sinh
Congenital bone marrow failure syndromes,Hội chứng suy tủy xương bẩm sinh
Congenital malformation,Dị tật bẩm sinh
Congestive heart failure (CHF),Suy tim xung huyết (CHF)
Conjunctivae,Kết mạc
Conjunctival erythema,Ban đỏ màng kết
Conjunctival injection,Xung huyết kết mạc
Conjunctivitis,Viêm kết mạc
Consciousness level,Mức độ tỉnh táo
Conservative care,Chăm sóc bảo tồn
Consolidation,Đông đặc
Constant feature,Đặc điểm hằng định
Constipation,Táo bón
Constitutional symptoms,Triệu chứng thể tạng
Constitutive and inducible beta-lactamase,Beta-lactam cấu trúc và cảm ứng
Consultant physician,Bác sĩ tư vấn
Consultation,Hội chẩn
"Consumptive coagulopathy, consumption coagulopathy",Bệnh lý đông máu tiêu hủy
Contaminated,Bị nhiễm
Contraindication,Chống chỉ định
Contrast agent,Chất tương phản
Contrast CT,CT dùng chất cản quang
Convalescence,Sự hồi sức
Convalescent,Hồi sức
Convalescent plasma,Huyết tương giai đoạn hồi phục
Copper deficiency,Thiếu đồng
Core antigen,Kháng nguyên lõi
Core biopsy,Sinh thiết lõi
Coronary artery bypass surgery,Bắc cầu mạch vành
Coronary artery bypass surgery (CABG),Phẫu thuật bắc cầu nối chủ-vành (CABG)
Coronary artery disease,Bệnh tim thiếu máu cục bộ
"Coronary artery disease, stent deployed",Bệnh mạch vành đã đặt stent
Coronary artery fistulas,Rò động mạch vành
Coronary computed tomographic angiography (CCTA),Chụp cắt lớp vi tính mạch vành (CCTA)
Coronary isthmus,Eo động mạch chủ
Corpus and fundus,Đáy và thân vị
Corpus luteum cyst,Nang hoàng thể
Cortical bone,Xương đặc
Cortico-medullary differentiation,Phân biệt tủy vỏ
Corticosteroids,Corticosteroid
Coryza,Vviêm mũi
Cough,Ho
Covalently closed circular DNA,DNA vòng gắn chặt đồng hóa trị
Cowpox,Đậu mùa
Coxiella burnetii,Vi khuẩn Coxiella burnetii
Crackles,Tiếng lép bép
Cramps,Chuột rút
Cranial nerve,dây thần kinh sọ não
Cranial nerve palsies,Chứng liệt dây thần kinh sọ não
Cranial vault structure,Cấu trúc vòm sọ
C-reactive protein (CRP),Protein phản ứng C (CRP)
Creatine kinase (CK),Creatine kinase (CK)
Creatine phosphokinase (CPK),Creatine phosphokinase (CPK)
Creatinine,Creatinine
Crepitations,Tiếng ran
Cricopharyngeus muscle,Cơ nhẫn hầu
Crimean-Congo haemorrhagic fever,Sốt xuất huyết Crimea-Congo
Crimean-Congo virus,Vi-rút Crimea-Congo
Cristalloid,Dịch tinh thể
Crohn’s disease,Bệnh Crohn
Cross-reacting,Phản ứng chéo
Cross-sectional,Mặt cắt ngang
Croup,Viêm thanh khí phế quản cấp
Cryoglobulin,Cryoglobulin
CSF analysis,Phân tích CSF
Culture,Nuôi cấy
Cultures of blood,Nuôi cấy máu
Cut-off sign,Dấu hiệu cắt cụt
CXR,XQ ngực thẳng
Cyanosis,Chứng xanh tím
Cyclic vomiting syndrome,Hội chứng nôn ói theo chu kỳ
Cystic duct,Ống túi mật
Cystic fibrosis,Xơ nang
Cysts,Nang
Cytochrome,Sắc tố tế bào
Cytogenic studies,Nghiên cứu tế bào học
Cytokine,Cytokine
Cytomegalovirus,Cytomegalovirus
Cytoplasm,Tế bào chất
Cytotoxic,Độc tế bào
Cytoxic T cell,Tế bào (lympho) T gây độc
Daily,Hàng ngày
Dark urine,Nước tiểu sẫm màu
DDx,Chẩn đoán phân biệt
Decompensated heart failure,Suy tim mất bù
Decreased exercise tolerance,Dung nạp vận động suy giảm
Deep venous thrombosis (DVT),Huyết khối tĩnh mạch sâu (DVT)
Deer fly fever,Bệnh tularemia
Defecation,Đi tiêu
Definitive diagnosis,Chẩn đoán xác định
Definitive test,Xét nghiệm xác định
Delirium,Sảng
Delirium tremens,Sảng rượu cấp
Delivery of healthcare,Cung cấp dịch vụ chăm sóc sức khỏe
Delusion,Hoang tưởng
Dementia,Sa sút trí tuệ
Dengue fever,Sốt Dengue
Dengue haemorrhagic fever (DHF),Sốt xuất huyết dengue (DHF)
Dengue infection,Nhiễm vi-rút dengue
Dengue shock syndrome (DSS),Hội chứng sốc dengue (DSS)
Dental implants,Cấy ghép nha khoa
Dentition,Bộ răng
Deoxycholate,Deoxycholate
Department of Anatomic Pathology,Khoa Giải phẫu bệnh
Department of Cardiology,Khoa Nội tim mạch
Department of Gynecologic oncology,Ung bướu phụ khoa
Department of Medicine,Khoa Y
Dependent edema,Phù vùng thấp
Dependent oedema,Phù do tư thế
Depressed mood,Trạng thái trầm cảm
Dermatomyositis,Viêm da cơ
Dermis,Hạ bì
Descending colon,Đại tràng xuống
Desquamation,Bóc vẩy da
Detailed history,Tiền sử chi tiết
Detergents,Chất tẩy
Developing countries,Nước đang phát triển
Diabetes,Đái tháo đường
Diabetes insipidus,Đái tháo nhạt
Diabetes mellitus,Đái tháo đường
Diagnosis,Chẩn đoán
